,lvl12,etime,pressure,gph,temp,rh,dpdp,wdir,station-code,year,month,day,hour,reltime,npv,lattitude,longitude,wspd
45,30,0.0,27371.557166103103,1692.5,0.0,0.0,0.0,255.0,INM00042103,1928.0,5.0,2.0,99.0,30.0,4.0,303833.0,767667.0,87.5
46,30,0.0,27371.557166103103,4471.25,0.0,0.0,0.0,305.0,INM00042103,1928.0,5.0,3.0,99.0,30.0,8.0,303833.0,767667.0,86.25
47,30,0.0,27371.557166103106,2154.0,0.0,0.0,0.0,304.0,INM00042103,1928.0,5.0,4.0,99.0,130.0,5.0,303833.0,767667.0,74.0
48,30,0.0,27371.557166103103,2628.3333333333335,0.0,0.0,0.0,326.6666666666667,INM00042103,1928.0,5.0,5.0,99.0,30.0,6.0,303833.0,767667.0,75.0
49,30,0.0,27371.557166103103,2628.3333333333335,0.0,0.0,0.0,293.3333333333333,INM00042103,1928.0,5.0,6.0,99.0,30.0,6.0,303833.0,767667.0,111.66666666666667
50,30,0.0,27371.557166103103,2628.3333333333335,0.0,0.0,0.0,271.6666666666667,INM00042103,1928.0,5.0,7.0,99.0,130.0,6.0,303833.0,767667.0,105.0
51,30,0.0,27371.557166103103,4221.25,0.0,0.0,0.0,268.75,INM00042103,1928.0,5.0,8.0,99.0,130.0,8.0,303833.0,767667.0,112.5
52,30,0.0,27371.557166103103,4221.25,0.0,0.0,0.0,246.25,INM00042103,1928.0,5.0,9.0,99.0,230.0,8.0,303833.0,767667.0,96.25
53,30,0.0,27371.557166103103,4221.25,0.0,0.0,0.0,251.25,INM00042103,1928.0,5.0,10.0,99.0,30.0,8.0,303833.0,767667.0,81.25
54,30,0.0,27371.557166103103,3538.5714285714284,0.0,0.0,0.0,271.42857142857144,INM00042103,1928.0,5.0,11.0,99.0,30.0,7.0,303833.0,767667.0,71.42857142857143
55,30,0.0,27371.557166103106,2154.0,0.0,0.0,0.0,194.0,INM00042103,1928.0,5.0,12.0,99.0,230.0,5.0,303833.0,767667.0,94.0
56,30,0.0,27371.557166103103,3395.714285714286,0.0,0.0,0.0,292.85714285714283,INM00042103,1928.0,5.0,13.0,99.0,130.0,7.0,303833.0,767667.0,88.57142857142857
57,30,0.0,27371.557166103103,2628.3333333333335,0.0,0.0,0.0,281.6666666666667,INM00042103,1928.0,5.0,14.0,99.0,130.0,6.0,303833.0,767667.0,93.33333333333333
58,30,0.0,27371.557166103103,1256.6666666666667,0.0,0.0,0.0,310.0,INM00042103,1928.0,5.0,15.0,99.0,30.0,3.0,303833.0,767667.0,53.333333333333336
59,30,0.0,27371.557166103103,1692.5,0.0,0.0,0.0,310.0,INM00042103,1928.0,5.0,17.0,99.0,30.0,4.0,303833.0,767667.0,80.0
